type,date,name,code,close,pct_change,note
index,2026-06-22,十年国债收益率,十年国债收益率,1.7375,0,回填历史
us_index,2026-06-23,美股道指DIA,DIA,516.62,0.0,美股收盘(回填历史)
index,2026-06-23,恒生指数,HSI,23336.28,0.0,回填历史
index,2026-06-23,恒生科技,HSTECH,4399.22,0.0,回填历史
us_index,2026-06-23,美股医疗ETF(IYH),IYH,64.03,0.0,美股收盘(回填历史)
us_index,2026-06-23,美股纳指100QQQ,QQQ,713.65,0.0,美股收盘(回填历史)
us_index,2026-06-23,美股医疗保健XLV,XLV,152.18,0.0,美股收盘(回填历史)
index,2026-06-23,十年国债收益率,十年国债收益率,1.7437,0,回填历史
index,2026-06-24,上证指数,000001,4110.81,0.0,回填历史
index,2026-06-24,中证消费,000932,11564.92,0.0,回填历史
index,2026-06-24,创业板指,399006,4251.42,0.0,回填历史
us_index,2026-06-24,美股道指DIA,DIA,518.52,0.37,美股收盘(回填历史)
index,2026-06-24,恒生指数,HSI,23412.18,0.33,回填历史
index,2026-06-24,恒生科技,HSTECH,4479.02,1.81,回填历史
us_index,2026-06-24,美股医疗ETF(IYH),IYH,64.64,0.95,美股收盘(回填历史)
us_index,2026-06-24,美股纳指100QQQ,QQQ,710.62,-0.42,美股收盘(回填历史)
us_index,2026-06-24,美股医疗保健XLV,XLV,153.35,0.77,美股收盘(回填历史)
index,2026-06-24,十年国债收益率,十年国债收益率,1.7454,0,回填历史
index,2026-06-25,上证指数,000001,4120.28,0.23,回填历史
index,2026-06-25,中证消费,000932,11592.18,0.24,回填历史
index,2026-06-25,创业板指,399006,4371.99,2.84,回填历史
us_index,2026-06-25,美股道指DIA,DIA,519.26,0.14,美股收盘(回填历史)
index,2026-06-25,恒生指数,HSI,23076.91,-1.43,回填历史
index,2026-06-25,恒生科技,HSTECH,4405.92,-1.63,回填历史
us_index,2026-06-25,美股医疗ETF(IYH),IYH,65.66,1.58,美股收盘(回填历史)
us_index,2026-06-25,美股纳指100QQQ,QQQ,716.38,0.81,美股收盘(回填历史)
us_index,2026-06-25,美股医疗保健XLV,XLV,155.63,1.49,美股收盘(回填历史)
index,2026-06-25,十年国债收益率,十年国债收益率,1.7351,0,回填历史
index,2026-06-26,上证指数,000001,4027.26,-2.26,回填历史
index,2026-06-26,中证消费,000932,11451.09,-1.22,回填历史
index,2026-06-26,创业板指,399006,4194.21,-4.07,回填历史
us_index,2026-06-26,美股道指DIA,DIA,517.75,-0.29,美股收盘(回填历史)
index,2026-06-26,恒生指数,HSI,22671.86,-1.76,回填历史
index,2026-06-26,恒生科技,HSTECH,4255.59,-3.41,回填历史
us_index,2026-06-26,美股医疗ETF(IYH),IYH,67.64,3.02,美股收盘(回填历史)
us_index,2026-06-26,美股纳指100QQQ,QQQ,706.52,-1.38,美股收盘(回填历史)
us_index,2026-06-26,美股医疗保健XLV,XLV,160.34,3.03,美股收盘(回填历史)
index,2026-06-26,十年国债收益率,十年国债收益率,1.7314,0,回填历史
index,2026-06-29,上证指数,000001,4073.9,1.16,回填历史
index,2026-06-29,中证消费,000932,11779.92,2.87,回填历史
index,2026-06-29,创业板指,399006,4216.7,0.54,回填历史
us_index,2026-06-29,美股道指DIA,DIA,521.68,0.76,美股收盘(回填历史)
index,2026-06-29,恒生指数,HSI,23026.68,1.57,回填历史
index,2026-06-29,恒生科技,HSTECH,4393.01,3.23,回填历史
us_index,2026-06-29,美股医疗ETF(IYH),IYH,67.93,0.43,美股收盘(回填历史)
us_index,2026-06-29,美股纳指100QQQ,QQQ,724.08,2.49,美股收盘(回填历史)
us_index,2026-06-29,美股医疗保健XLV,XLV,160.74,0.25,美股收盘(回填历史)
index,2026-06-29,十年国债收益率,十年国债收益率,1.717,0,回填历史
index,2026-06-30,上证指数,000001,4094.4,0.5,回填历史
index,2026-06-30,中证消费,000932,11658.46,-1.03,回填历史
index,2026-06-30,创业板指,399006,4342.71,2.99,回填历史
us_index,2026-06-30,美股道指DIA,DIA,522.39,0.14,美股收盘(回填历史)
index,2026-06-30,恒生指数,HSI,22881.02,-0.63,回填历史
index,2026-06-30,恒生科技,HSTECH,4472.23,1.8,回填历史
