date,nav,daily_return
2015-07-01,1,
2015-07-02,1.00009365,9.365e-05
2015-07-03,1.0001956696,0.00010201
2015-07-06,1.0004608572,0.0002651357
2015-07-07,1.0005541502,9.325e-05
2015-07-08,1.0006472018,9.3e-05
2015-07-09,1.0007370199,8.976e-05
2015-07-10,1.0009174027,0.00018025
2015-07-13,1.0012207325,0.0003030518
2015-07-14,1.0014022438,0.00018129
2015-07-15,1.0014960052,9.363e-05
2015-07-16,1.0015856491,8.951e-05
2015-07-17,1.0017205626,0.0001347
2015-07-20,1.0019842712,0.0002632556
2015-07-21,1.0020748806,9.043e-05
2015-07-22,1.0021643057,8.924e-05
2015-07-23,1.0022615558,9.704e-05
2015-07-24,1.0023526613,9.09e-05
2015-07-27,1.002622681,0.0002693859
2015-07-28,1.0027051267,8.223e-05
2015-07-29,1.0027896748,8.432e-05
2015-07-30,1.0028764462,8.653e-05
2015-07-31,1.0029646592,8.796e-05
2015-08-03,1.0032197964,0.0002543831
2015-08-04,1.0034364017,0.0002159101
2015-08-05,1.0034606418,2.4157e-05
2015-08-06,1.0034968862,3.61194e-05
2015-08-07,1.0036701937,0.0001727036
2015-08-10,1.0042926832,0.0006202132
2015-08-11,1.0042993953,6.6834e-06
2015-08-12,1.0043057248,6.3024e-06
2015-08-13,1.0044601819,0.0001537949
2015-08-14,1.004749979,0.0002885103
2015-08-17,1.0049228226,0.0001720265
2015-08-18,1.0046337699,-0.0002876367
2015-08-19,1.0047689705,0.000134577
2015-08-20,1.0046594228,-0.0001090277
2015-08-21,1.0045183236,-0.0001404449
2015-08-24,1.0042365184,-0.0002805376
2015-08-25,1.0039455942,-0.0002896969
2015-08-26,1.0042159318,0.0002692752
2015-08-27,1.0046892545,0.0004713355
2015-08-28,1.0049350517,0.00024465
2015-08-31,1.0053129632,0.0003760556
2015-09-01,1.0054361582,0.000122544
2015-09-02,1.0054690496,3.27136e-05
2015-09-07,1.0056035343,0.0001337531
2015-09-08,1.0060390847,0.0004331234
2015-09-09,1.0065365481,0.0004944772
2015-09-10,1.0064556194,-8.04032e-05
2015-09-11,1.0064626026,6.9384e-06
2015-09-14,1.0069455213,0.0004798179
2015-09-15,1.0066946142,-0.0002491765
2015-09-16,1.0073067355,0.0006080506
2015-09-17,1.0070787796,-0.0002263023
2015-09-18,1.0072345605,0.0001546858
2015-09-21,1.0074895955,0.0002532032
2015-09-22,1.0077054468,0.0002142467
2015-09-23,1.0073804331,-0.0003225284
2015-09-24,1.0074353159,5.44807e-05
2015-09-25,1.0075250985,8.912e-05
2015-09-28,1.0077214367,0.0001948717
2015-09-29,1.0073761739,-0.0003426172
2015-09-30,1.0076458249,0.0002676766
2015-10-08,1.0089840485,0.0013280694
2015-10-09,1.0092437522,0.0002573912
2015-10-12,1.0099924992,0.0007418892
2015-10-13,1.0099721353,-2.01625e-05
2015-10-14,1.0099301416,-4.15791e-05
2015-10-15,1.0103823196,0.000447732
2015-10-16,1.0106938256,0.0003083051
2015-10-19,1.0109317095,0.0002353669
2015-10-20,1.0110722833,0.0001390537
2015-10-21,1.0112066349,0.0001328803
2015-10-22,1.0112251227,1.82829e-05
2015-10-23,1.0114666651,0.0002388612
2015-10-26,1.0117262299,0.0002566222
2015-10-27,1.0117723064,4.55425e-05
2015-10-28,1.0116215641,-0.0001489884
2015-10-29,1.0116453007,2.34639e-05
2015-10-30,1.0117020998,5.61453e-05
2015-11-02,1.0116438852,-5.75412e-05
2015-11-03,1.0118436887,0.0001975038
2015-11-04,1.0127134646,0.0008595951
2015-11-05,1.0131306262,0.0004119247
2015-11-06,1.0134526173,0.000317818
2015-11-09,1.0139115282,0.0004528192
2015-11-10,1.0137941308,-0.0001157866
2015-11-11,1.0137716102,-2.22142e-05
2015-11-12,1.0139990647,0.0002243646
2015-11-13,1.013654333,-0.0003399725
2015-11-16,1.0136766346,2.20012e-05
2015-11-17,1.0139308362,0.0002507719
2015-11-18,1.0138997335,-3.06754e-05
2015-11-19,1.0143134499,0.0004080446
2015-11-20,1.0145407112,0.0002240543
2015-11-23,1.0146790329,0.0001363393
2015-11-24,1.0146814573,2.3893e-06
2015-11-25,1.0147571468,7.45944e-05
2015-11-26,1.0147793635,2.18937e-05
2015-11-27,1.0140235833,-0.0007447729
2015-11-30,1.0142091847,0.0001830346
2015-12-01,1.0145566294,0.000342577
2015-12-02,1.0151230231,0.0005582672
2015-12-03,1.0151666871,4.30136e-05
2015-12-04,1.0148759761,-0.0002863678
2015-12-07,1.0151173645,0.0002378501
2015-12-08,1.0148647019,-0.0002488998
2015-12-09,1.0149223635,5.6817e-05
2015-12-10,1.0148743184,-4.73387e-05
2015-12-11,1.01471159,-0.0001603433
2015-12-14,1.015214895,0.0004960079
2015-12-15,1.0153590748,0.000142019
2015-12-16,1.015772677,0.0004073457
2015-12-17,1.0161001014,0.0003223403
2015-12-18,1.0161274572,2.69224e-05
2015-12-21,1.0167640641,0.000626503
2015-12-22,1.0169484457,0.0001813416
2015-12-23,1.0174792684,0.0005219761
2015-12-24,1.0175476985,6.72545e-05
2015-12-25,1.0177125821,0.0001620401
2015-12-28,1.0172674342,-0.0004374004
2015-12-29,1.0176142945,0.0003409726
2015-12-30,1.0174808913,-0.0001310941
2015-12-31,1.0175485124,6.64593e-05
2016-01-04,1.0162665477,-0.0012598561
2016-01-05,1.0163337676,6.6144e-05
2016-01-06,1.0160817214,-0.0002479955
2016-01-07,1.0145714875,-0.0014863311
2016-01-08,1.0149114755,0.000335105
2016-01-11,1.0136966202,-0.0011970062
2016-01-12,1.013503209,-0.0001907979
2016-01-13,1.0137490245,0.0002425404
2016-01-14,1.0139437076,0.0001920426
2016-01-15,1.0127867877,-0.0011410099
2016-01-18,1.0123444806,-0.0004367228
2016-01-19,1.0134891629,0.0011307241
2016-01-20,1.0116761082,-0.0017889236
2016-01-21,1.0109353201,-0.0007322385
2016-01-22,1.0123753735,0.0014244763
2016-01-25,1.0129623822,0.0005798331
2016-01-26,1.0113730298,-0.0015690143
2016-01-27,1.0118348454,0.0004566224
2016-01-28,1.0120159023,0.0001789392
2016-01-29,1.0136571677,0.0016217783
2016-02-01,1.0132894814,-0.0003627324
2016-02-02,1.0132961979,6.6284e-06
2016-02-03,1.0123649677,-0.0009190108
2016-02-04,1.0131702475,0.0007954441
2016-02-05,1.0132280155,5.70171e-05
2016-02-15,1.0128347284,-0.0003881526
