account,as_of,name,code,type,amount,shares,cost_price,open_date,pnl,daily_pnl,note
jasy-alipay-fund,2026-08-05,摩根士丹利健康产业混合A,002708,混合型-偏股,6941.59,3756.27,2.3960,,-2058.41,120.20,健康产业主动基
jasy-alipay-fund,2026-08-05,广发中证全指金融地产联接A,001469,股票型-行业指数,4268.91,3465.59,1.0298,,3021.21,-8.66,金融地产指数
jasy-alipay-fund,2026-08-05,恒生ETF联接A,000071,QDII-股票,12475.57,8145.45,1.2706,,4311.43,25.25,港股蓝筹宽基
jasy-alipay-fund,2026-08-05,广发全球医疗保健指数A,000369,QDII-股票,16917.77,6713.40,2.4280,,617.77,13.43,全球医疗A
jasy-alipay-fund,2026-08-05,天弘中证证券保险A,001552,股票型-行业指数,9410.13,8853.26,0.8810,,3070.44,54.00,证券保险指数
jasy-alipay-fund,2026-08-05,汇添富中证主要消费联接A,000248,股票型-行业指数,6497.01,3510.38,1.8620,,-39.48,-45.99,主要消费指数
jasy-alipay-fund,2026-08-05,华宝中证医疗联接C,012323,股票型-行业指数,20292.89,34819.64,0.7422,,-5550.11,181.06,中证医疗指数
jasy-alipay-fund,2026-08-05,融通健康产业灵活配置A/B,000727,混合型-灵活,4941.25,2050.31,2.9264,,-1058.75,-6.15,健康产业主动基
jasy-alipay-fund,2026-08-05,天弘恒生科技联接A,012348,QDII-股票,12508.48,18588.91,0.6615,,3591.84,113.39,港股科技
jasy-alipay-fund,2026-08-05,汇添富文体娱乐主题A,004424,混合型-偏股,3973.56,2199.59,1.8185,,-26.44,7.48,文体娱乐主题
jasy-alipay-fund,2026-08-05,交银中证海外中国互联网A,164906,QDII-股票,5061.53,4954.03,1.0793,,717.02,0.00,中概互联LOF
jasy-alipay-fund,2026-08-05,广发全球医疗保健指数C,016280,QDII-股票,15927.20,6424.85,2.3969,,527.20,12.85,全球医疗C
jasy-alipay-fund,2026-08-05,富国消费主题混合A,519915,混合型-偏股,21829.00,11679.51,2.1031,,-2733.83,35.04,消费主动基
jasy-alipay-fund,2026-08-05,余额宝,,货币基金,183.77,,,,308.57,0.00,现金管理
