account,as_of,name,code,type,amount,shares,cost_price,open_date,pnl,note
sean-alipay-fund,2026-08-05,大摩健康产业混合A,002708,混合型-偏股,18538.14,10031.46,1.8773,2022-09-26,-293.84,创新药核心持仓
sean-alipay-fund,2026-08-05,广发中证养老产业A,000968,股票型-行业指数,6871.47,8179.35,0.9063,2018-10-22,-541.87,养老主题指数
sean-alipay-fund,2026-08-05,泓德裕祥债券A,002742,债券型-混债,9.39,7.44,1.2796,,-0.02,观察仓
sean-alipay-fund,2026-08-05,广发中证传媒ETF联接A,004752,股票型-行业指数,1.00,1.14,0.7873,,0.00,观察仓
sean-alipay-fund,2026-08-05,富国清洁能源产业灵活配置混合A,005368,混合型-灵活,6811.56,5938.07,1.4130,2021-01-11,-1579.10,清洁能源主题
sean-alipay-fund,2026-08-05,易方达沪深300ETF联接A,110020,股票型-宽基指数,5209.15,2737.19,1.8267,2025-12-05,209.15,大盘宽基
sean-alipay-fund,2026-08-05,广发全球医疗保健指数(QDII)A,000369,QDII-股票,12947.21,5137.78,2.4330,2025-07-29,447.21,美股医药
sean-alipay-fund,2026-08-05,富国中证红利指数增强A,100032,股票型-行业指增,4.69,4.91,0.5568,,0.00,观察仓
sean-alipay-fund,2026-08-05,广发医药卫生ETF联接A,001180,股票型-行业指数,8941.22,10933.26,0.9146,2022-06-13,-1058.78,医药全行业
sean-alipay-fund,2026-08-05,融通医疗保健行业混合A/B,161616,混合型-偏股,16005.09,9294.48,1.7617,2018-12-12,-368.64,医药主动管理
sean-alipay-fund,2026-08-05,华夏沪深300ETF联接A,000051,股票型-宽基指数,10011.97,5637.69,1.4141,2023-01-10,2039.74,大盘核心资产
sean-alipay-fund,2026-08-05,富国消费主题混合A,519915,混合型-偏股,2982.08,1595.55,2.6630,2025-08-29,-1266.87,消费主动基
sean-alipay-fund,2026-08-05,华夏恒生ETF联接(QDII)A,000071,QDII-股票,6848.26,4471.31,1.1182,2022-03-08,1848.26,港股大盘
sean-alipay-fund,2026-08-05,天弘恒生科技ETF联接(QDII)A,012348,QDII-股票,4261.22,6332.62,0.6157,2022-03-22,362.06,港股科技
sean-alipay-fund,2026-08-05,天弘中证医药100指数C,001551,股票型-行业指数,2779.06,3697.03,0.6966,2018-12-17,203.82,医药100指数
sean-alipay-fund,2026-08-05,交银中证海外中国互联网指数(LOF)A,164906,QDII-股票,5593.16,5474.37,1.1431,2021-08-20,-664.84,中概互联
sean-alipay-fund,2026-08-05,汇添富中证主要消费ETF联接A,000248,股票型-行业指数,27184.11,14687.76,2.0683,2026-01-12,-3195.04,消费核心仓位
sean-alipay-fund,2026-08-05,广发全球医疗保健指数(QDII)C,016280,QDII-股票,12374.10,4991.57,2.4041,2025-08-06,374.10,美股医药C份额
sean-alipay-fund,2026-08-05,余额宝,,货币基金,240.55,,,,-,现金管理
sean-alipay-fund,2026-08-05,帮你投-锐意进取,,投顾组合,,,,-,7.98,权益型投顾
