account,as_of,name,code,type,amount,shares,cost_price,open_date,pnl,note
stock-brokerage,2026-08-06,广联达,002410.SZ,股票-软件,43635.20,4480,14.333,,-20578.56,科技龙头,累计盈亏率 -32.05%
stock-brokerage,2026-08-06,中概互联,513050.SH,ETF-跨境,15575.90,13100,1.150,,507.50,中概互联指数,累计盈亏率 +3.37%
stock-brokerage,2026-08-06,消费ETF添富,159928.SZ,ETF-行业,12873.40,19100,0.806,,-2511.81,主要消费,累计盈亏率 -16.33%
stock-brokerage,2026-08-06,医药ETF广发,159938.SZ,ETF-行业,6072.90,9300,0.789,,-1261.80,医药卫生,累计盈亏率 -17.20%
stock-brokerage,2026-08-06,医疗ETF,512170.SH,ETF-行业,5998.60,17800,0.292,,804.48,医疗创新,累计盈亏率 +15.49%
stock-brokerage,2026-08-06,通威股份,600438.SH,股票-光伏,3837.00,300,52.649,,-11957.75,光伏龙头,累计盈亏率 -75.71%
stock-brokerage,2026-08-06,恒指科技,513180.SH,ETF-跨境,2995.20,4800,-1.388,,9658.81,恒生科技指数,累计盈亏率 ∞(盈利远超成本,正常展示)
stock-brokerage,2026-08-06,100红利,515180.SH,ETF-策略,979.30,700,0.671,,509.36,中证红利低波,累计盈亏率 +108.39%
stock-brokerage,2026-08-06,恒生ETF华夏,159920.SZ,ETF-跨境,152.80,100,-32.101,,3362.92,恒生指数,累计盈亏率 ∞(盈利远超成本,正常展示)
stock-brokerage,2026-08-06,证券ETF,512880.SH,ETF-行业,110.90,100,-15.270,,1637.86,证券公司指数,累计盈亏率 ∞(盈利远超成本,正常展示)
stock-brokerage,2026-08-06,传媒ETF,512980.SH,ETF-行业,88.10,100,-17.588,,1846.88,中证传媒,累计盈亏率 ∞(盈利远超成本,正常展示)
stock-brokerage,2026-08-06,现金,,货币资金,9040.00,,,,,可用资金,场内账户闲置现金
